2021-11-08 20:11:316 INFO  RegisterStep:24 - Verify User navigated to Website page
2021-11-08 20:11:482 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:585 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder= 'Enter username']]
2021-11-08 20:11:622 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:651 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Enter password']]
2021-11-08 20:11:672 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:726 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //button[@type='submit']]
2021-11-08 20:11:67 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:101 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //a[@href='/portal-pages/customer']]
2021-11-08 20:11:375 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:916 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //*[@class='icon icon-plus']]
2021-11-08 20:11:165 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:217 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='First Name']]
2021-11-08 20:11:284 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:319 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Last Name']]
2021-11-08 20:11:347 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:381 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: (//a[@class='mr-2 dropdown-toggle'])[1]]
2021-11-08 20:11:879 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:910 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Phone Number']]
2021-11-08 20:11:19 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:68 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Email']]
2021-11-08 20:11:245 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:288 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //button[@id='wizard-next']]
2021-11-08 20:11:533 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:557 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Business Name']]
2021-11-08 20:11:600 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:632 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Business Domain']]
2021-11-08 20:11:697 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:721 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Contact Name']]
2021-11-08 20:11:773 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:809 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: (//a[@class='mr-2 dropdown-toggle'])[2]]
2021-11-08 20:11:296 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:338 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@type='tel']]
2021-11-08 20:11:384 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:407 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: //input[@placeholder='Contact Email']]
2021-11-08 20:11:502 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
2021-11-08 20:11:526 INFO  UtilityClass:54 - wait for element ele value[[FirefoxDriver: firefox on WINDOWS (8f1f914a-78e2-4d18-aeb1-1df2130698d6)] -> xpath: (//i[@class='fa-1x icon icon-upload'])[1]]
2021-11-08 20:11:258 INFO  UtilityClass:51 - *********=-----Letting element load successfully-----*********
